# packages in environment at C:\ProgramData\Anaconda3\envs\financial:
#
# Name                    Version                   Build  Channel
groq                      0.11.0                   pypi_0    pypi
grpc-google-iam-v1        0.13.1                   pypi_0    pypi
grpcio                    1.66.1                   pypi_0    pypi
grpcio-status             1.62.3                   pypi_0    pypi
grpcio-tools              1.62.3                   pypi_0    pypi
h11                       0.14.0                   pypi_0    pypi
h2                        4.1.0              pyhd8ed1ab_0    conda-forge
harfbuzz                  9.0.0                h2bedf89_1    conda-forge
hpack                     4.0.0              pyh9f0ad1d_0    conda-forge
html5lib                  1.1                pyh9f0ad1d_0    conda-forge
httpcore                  1.0.5                    pypi_0    pypi
httptools                 0.6.1                    pypi_0    pypi
httpx                     0.27.2                   pypi_0    pypi
httpx-sse                 0.4.0                    pypi_0    pypi
huggingface-hub           0.25.1                   pypi_0    pypi
humanfriendly             10.0                     pypi_0    pypi
hyperframe                6.0.1              pyhd8ed1ab_0    conda-forge
icu                       75.1                 he0c23c2_0    conda-forge
idna                      3.10               pyhd8ed1ab_0    conda-forge
importlib-metadata        7.2.1              pyha770c72_0    conda-forge
importlib_resources       6.4.5              pyhd8ed1ab_0    conda-forge
iniconfig                 2.0.0                    pypi_0    pypi
instructor                1.3.3                    pypi_0    pypi
intel-openmp              2021.4.0                 pypi_0    pypi
ipykernel                 6.29.5             pyh4bbf305_0    conda-forge
ipython                   8.12.3                   pypi_0    pypi
ipywidgets                8.1.5              pyhd8ed1ab_0    conda-forge
jedi                      0.19.1             pyhd8ed1ab_0    conda-forge
jinja2                    3.1.4              pyhd8ed1ab_0    conda-forge
jiter                     0.4.2                    pypi_0    pypi
jmespath                  1.0.1                    pypi_0    pypi
joblib                    1.4.2                    pypi_0    pypi
json-repair               0.25.3                   pypi_0    pypi
jsonpatch                 1.33               pyhd8ed1ab_0    conda-forge
jsonpath-python           1.0.6                    pypi_0    pypi
jsonpointer               3.0.0           py311h1ea47a8_1    conda-forge
jsonref                   1.1.0                    pypi_0    pypi
jsonschema                4.23.0             pyhd8ed1ab_0    conda-forge
jsonschema-specifications 2023.12.1          pyhd8ed1ab_0    conda-forge
jupyter_client            8.6.3              pyhd8ed1ab_0    conda-forge
jupyter_core              5.7.2           py311h1ea47a8_0    conda-forge
jupyterlab-pygments       0.3.0                    pypi_0    pypi
jupyterlab_widgets        3.0.13             pyhd8ed1ab_0    conda-forge
krb5                      1.21.3               hdf4eb48_0    conda-forge
kubernetes                31.0.0                   pypi_0    pypi
lancedb                   0.5.7                    pypi_0    pypi
langchain                 0.2.11                   pypi_0    pypi
langchain-cohere          0.1.9                    pypi_0    pypi
langchain-community       0.2.10                   pypi_0    pypi
langchain-core            0.2.41                   pypi_0    pypi
langchain-experimental    0.0.64                   pypi_0    pypi
langchain-groq            0.1.6                    pypi_0    pypi
langchain-openai          0.1.16                   pypi_0    pypi
langchain-text-splitters  0.2.4                    pypi_0    pypi
langdetect                1.0.9                    pypi_0    pypi
langsmith                 0.1.125                  pypi_0    pypi
lcms2                     2.16                 h67d730c_0    conda-forge
lerc                      4.0.0                h63175ca_0    conda-forge
libabseil                 20240116.2      cxx17_he0c23c2_1    conda-forge
libarchive                3.7.4                haf234dc_0    conda-forge
libarrow                  17.0.0          h5bcb882_16_cpu    conda-forge
libarrow-acero            17.0.0          he0c23c2_16_cpu    conda-forge
libarrow-dataset          17.0.0          he0c23c2_16_cpu    conda-forge
libarrow-substrait        17.0.0          h1f0e801_16_cpu    conda-forge
libblas                   3.9.0              24_win64_mkl    conda-forge
libbrotlicommon           1.1.0                h2466b09_2    conda-forge
libbrotlidec              1.1.0                h2466b09_2    conda-forge
libbrotlienc              1.1.0                h2466b09_2    conda-forge
libcblas                  3.9.0              24_win64_mkl    conda-forge
libcrc32c                 1.1.2                h0e60522_0    conda-forge
libcurl                   8.10.1               h1ee3ff0_0    conda-forge
libdeflate                1.21                 h2466b09_0    conda-forge
libevent                  2.1.12               h3671451_1    conda-forge
libexpat                  2.6.3                he0c23c2_0    conda-forge
